wave,flux,norm
2136.4664367304,-1.2356714,1.0
2137.0150658287707,-1.5454998,1.0
2137.5636949271416,-1.275597,1.0
2138.1123240255124,-0.3517141,1.0
2138.6609531238832,0.42010722,0.0628679096667384
2139.209582222254,0.73287255,0.1063001973131682
2139.758211320625,0.6030816,0.08490371105083044
2140.3068404189958,0.15641597,0.0214014198693144
2140.8554695173666,-1.9081558,1.0
2141.4040986157374,-3.5112283,1.0
2141.9527277141083,-0.36097294,1.0
2142.501356812479,0.061031833,0.007535526580386065
2143.04998591085,-3.4358377,1.0
2143.598615009221,-3.124561,1.0
2144.1472441075916,-9.618635,1.0
2144.6958732059625,-15.974605,1.0
2145.2445023043333,2.7576659,0.3058028848146064
2145.793131402704,5.801694,0.6311374956253093
2146.341760501075,-10.290876,1.0
2146.890389599446,7.9731584,0.8363874026825532
2147.4390186978167,14.579525,1.503251860001269
2147.9876477961875,-6.9699545,1.0
2148.5362768945583,-6.3983426,1.0
2149.084905992929,0.8894583,0.08738408493549817
2149.6335350913,1.4039254,0.13586770459169556
2150.182164189671,7.257691,0.6922289410711443
2150.7307932880417,9.722762,0.9143762947978954
2151.2794223864125,4.027147,0.37360574391550105
2151.8280514847834,-2.0387268,1.0
2152.376680583154,-5.4609556,1.0
2152.925309681525,-0.79552406,1.0
2153.473938779896,17.585665,1.5513828171863766
2154.0225678782667,15.159853,1.321945052197701
2154.5711969766376,-8.355068,1.0
2155.1198260750084,-2.9735775,1.0
2155.6684551733792,3.18982,0.26920283197842915
2156.21708427175,-3.6811955,1.0
2156.765713370121,6.0416923,0.4997104842865251
2157.3143424684918,9.208639,0.7543616925774328
2157.8629715668626,1.9138045,0.15532255204889694
2158.4116006652334,15.489102,1.2457774444864544
2158.9602297636043,15.884444,1.266438943740747
2159.508858861975,-3.067688,1.0
2160.057487960346,0.9802002,0.07685481885975905
2160.606117058717,3.195193,0.2485380157488659
2161.1547461570876,-5.263301,1.0
2161.7033752554585,1.977403,0.15149168815787872
2162.2520043538293,4.061444,0.3089062621063615
2162.8006334522,-4.325033,1.0
2163.349262550571,-1.7004893,1.0
2163.897891648942,-4.5880756,1.0
2164.4465207473127,-11.919022,1.0
2164.9951498456835,-1.0908579,1.0
2165.5437789440543,1.5069269,0.1102405219008317
2166.092408042425,-6.8666053,1.0
2166.641037140796,0.7855754,0.056820534426170376
2167.189666239167,10.017304,0.7206499727520423
2167.7382953375377,15.267109,1.0926097145773015
2168.2869244359085,24.215248,1.724283972297833
2168.8355535342794,18.04212,1.27848061933739
2169.38418263265,2.7618132,0.19478745807292347
2169.932811731021,3.230115,0.22678615612290695
2170.481440829392,5.373564,0.3756323705135629
2171.0300699277627,3.9176545,0.2727077106728035
2171.5786990261336,4.992254,0.3461033278804749
2172.1273281245044,1.4091555,0.09731316553490747
2172.6759572228752,-2.524273,1.0
2173.224586321246,2.112606,0.14482048740638614
2173.773215419617,1.8487747,0.12629555472615878
2174.3218445179878,1.9525385,0.1329403195179465
2174.8704736163586,12.949482,0.8788641614220887
2175.4191027147294,8.9636545,0.6064915324511724
2175.9677318131003,1.0113242,0.06822713983698334
2176.516360911471,9.653283,0.6494186062651758
2177.064990009842,1.365705,0.09163136567345857
2177.613619108213,-13.524282,1.0
2178.1622482065836,-7.6492176,1.0
2178.7108773049545,9.663464,0.6436508747921077
2179.2595064033253,21.787996,1.4480407763187348
2179.808135501696,17.66462,1.17155690557699
2180.356764600067,3.6484118,0.24149451913270223
2180.905393698438,-7.120021,1.0
2181.4540227968087,-4.3648243,1.0
2182.0026518951795,10.902919,0.7178978027505328
2182.5512809935503,12.06864,0.7934299190669303
2183.099910091921,-8.666261,1.0
2183.648539190292,-10.258615,1.0
2184.197168288663,3.697899,0.24213622847208865
2184.7457973870337,12.28468,0.8034740505885224
2185.2944264854045,3.0009282,0.19606864943936056
2185.8430555837754,1.652042,0.10783475556265242
2186.391684682146,15.881191,1.035727875649652
2186.940313780517,13.677057,0.891290502077299
2187.488942878888,4.9164443,0.320169648517669
2188.0375719772587,-5.174052,1.0
2188.5862010756296,-25.633156,1.0
2189.1348301740004,-15.746919,1.0
2189.6834592723712,13.981641,0.9087977021949586
2190.232088370742,7.1017084,0.4614835251596397
2190.780717469113,8.12167,0.527663915954578
2191.3293465674838,17.285995,1.1229462224118651
2191.8779756658546,-2.8444529,1.0
2192.4266047642254,-0.37167913,1.0
2192.9752338625963,9.937874,0.6456721993271135
2193.523862960967,-15.675108,1.0
2194.072492059338,-11.551737,1.0
2194.621121157709,5.4722414,0.35581158326111106
2195.1697502560796,-8.7041025,1.0
2195.7183793544505,-0.49500313,1.0
2196.2670084528213,9.300276,0.6055544678536403
2196.815637551192,-9.438829,1.0
2197.364266649563,-7.277141,1.0
2197.912895747934,-1.5818636,1.0
2198.4615248463047,-10.325736,1.0
2199.0101539446755,4.777241,0.3121683461054582
2199.5587830430463,7.8645635,0.5143688522202247
2200.107412141417,-12.045843,1.0
2200.656041239788,4.038767,0.26466627871006465
2201.204670338159,11.167708,0.7326123580434414
2201.7532994365297,-9.718799,1.0
2202.3019285349005,-12.179933,1.0
2202.8505576332714,-11.104225,1.0
2203.399186731642,-14.901549,1.0
2203.947815830013,-12.861847,1.0
2204.496444928384,-12.84292,1.0
2205.0450740267547,-5.781342,1.0
2205.5937031251256,17.930033,1.188374861285535
2206.1423322234964,14.881381,0.9877856339835812
2206.6909613218672,-2.362306,1.0
2207.239590420238,-0.70116127,1.0
2207.788219518609,-8.261966,1.0
2208.3368486169798,-14.364929,1.0
