T,g,feh,cfe
4400.0,5.0,-1.0,-0.1299999999999999
4400.0,5.0,-1.103448275862069,-0.026551724137930943
4400.0,5.0,-1.206896551724138,0.07689655172413801
4400.0,5.0,-1.3103448275862069,0.18034482758620696
4400.0,5.0,-1.4137931034482758,0.2837931034482759
4400.0,5.0,-1.5172413793103448,0.38724137931034486
4400.0,5.0,-1.6206896551724137,0.4906896551724138
4400.0,5.0,-1.7241379310344827,0.5941379310344828
4400.0,5.0,-1.8275862068965516,0.6975862068965517
4400.0,5.0,-1.9310344827586206,0.8010344827586207
4400.0,5.0,-2.0344827586206895,0.9044827586206896
4400.0,5.0,-2.137931034482759,1.007931034482759
4400.0,5.0,-2.2413793103448274,1.1113793103448275
4400.0,5.0,-2.344827586206897,1.214827586206897
4400.0,5.0,-2.4482758620689653,1.3182758620689654
4400.0,5.0,-2.5517241379310347,1.4217241379310348
4400.0,5.0,-2.655172413793103,1.5251724137931033
4400.0,5.0,-2.7586206896551726,1.6286206896551727
4400.0,5.0,-2.862068965517241,1.7320689655172412
4400.0,5.0,-2.9655172413793105,1.8355172413793106
4400.0,5.0,-3.0689655172413794,1.9389655172413796
4400.0,5.0,-3.1724137931034484,2.0424137931034485
4400.0,5.0,-3.2758620689655173,2.1458620689655175
4400.0,5.0,-3.3793103448275863,2.2493103448275864
4400.0,5.0,-3.4827586206896552,2.3527586206896554
4400.0,5.0,-3.586206896551724,2.4562068965517243
4400.0,5.0,-3.689655172413793,2.5596551724137933
4400.0,5.0,-3.793103448275862,2.663103448275862
4400.0,5.0,-3.896551724137931,2.766551724137931
4400.0,5.0,-4.0,2.87
