flux,norm,wave
20724.4,0.9394868342336737,3000.0
18807.1,0.8510360095200072,3001.0
17713.7,0.8001031017359683,3002.0
17596.8,0.7933670613556016,3003.0
19187.5,0.8634872503365557,3004.0
20780.3,0.9334256402465315,3005.0
20641.1,0.9254319158756114,3006.0
19524.9,0.8737306259311438,3007.0
19204.6,0.8577575178757804,3008.0
20111.6,0.8965404236777709,3009.0
21273.4,0.9464935165322417,3010.0
21687.5,0.9630331784828801,3011.0
21251.5,0.9418157357196594,3012.0
21080.9,0.9324031029295065,3013.0
21225.2,0.9369107347756381,3014.0
21122.8,0.9305151838904188,3015.0
20753.0,0.9123724181309476,3016.0
20143.4,0.8837656000578218,3017.0
19495.9,0.8536001222822783,3018.0
18383.8,0.8032434256939288,3019.0
16646.1,0.7258033926383485,3020.0
16770.0,0.7296726818289231,3021.0
19823.2,0.8606989733548314,3022.0
22042.0,0.9550036381091381,3023.0
21842.2,0.94432385548897,3024.0
20766.0,0.895863974404994,3025.0
20593.3,0.8864901989694746,3026.0
21993.5,0.9447029619571825,3027.0
23122.4,0.9910167270534498,3028.0
22840.1,0.976759109111448,3029.0
21916.8,0.9351952589489719,3030.0
21458.1,0.9135796748120173,3031.0
22015.3,0.9351992580145637,3032.0
23096.1,0.978896979863955,3033.0
23896.6,1.0105264690015898,3034.0
24440.8,1.031180590534178,3035.0
23817.4,1.0025728228299517,3036.0
22087.0,0.9275880505229666,3037.0
21746.7,0.9111780030513905,3038.0
22947.5,0.9592489765916377,3039.0
23176.5,0.9665506425377177,3040.0
22198.3,0.923574661233406,3041.0
21661.1,0.8990898725591147,3042.0
22327.7,0.9245527776333836,3043.0
23120.1,0.9550748406003376,3044.0
23814.6,0.9813995655738824,3045.0
24166.7,0.9935042554798811,3046.0
23477.9,0.9628450844646714,3047.0
23275.4,0.9522130491589125,3048.0
24197.3,0.9875037404199859,3049.0
24716.7,1.0062184830476293,3050.0
24988.3,1.0147606515082188,3051.0
25404.5,1.029100624753127,3052.0
24743.9,0.9998407766196502,3053.0
23759.0,0.957638534192674,3054.0
23886.8,0.9603675831981705,3055.0
23740.7,0.952082193355151,3056.0
22128.9,0.8851921076132893,3057.0
21153.1,0.8440028909166734,3058.0
21835.9,0.8690178032197149,3059.0
23435.4,0.9302787770417065,3060.0
24972.0,0.9887187607331097,3061.0
25359.8,1.0014737229283828,3062.0
24331.9,0.9583842384191766,3063.0
22629.8,0.889016701635349,3064.0
21581.1,0.8455981895659535,3065.0
20528.6,0.8022445972151788,3066.0
20099.7,0.7834112830309736,3067.0
21472.2,0.8346903361185504,3068.0
23585.7,0.9144123065745279,3069.0
24723.8,0.9559801156117527,3070.0
24265.0,0.9357292635106659,3071.0
23280.8,0.8953649034130112,3072.0
23790.3,0.9124946935791161,3073.0
24760.9,0.9471552412823496,3074.0
24289.9,0.9266182879399111,3075.0
24595.4,0.9357192340592447,3076.0
25469.6,0.9663322684738561,3077.0
24985.0,0.9453499492084467,3078.0
24837.8,0.9371983423265933,3079.0
25416.1,0.9563760899972837,3080.0
25481.6,0.9561900567436025,3081.0
25423.9,0.9513794902830699,3082.0
25797.4,0.9626713038418382,3083.0
26665.5,0.9922902506580592,3084.0
27251.6,1.0112635858366306,3085.0
26132.2,0.967003866589705,3086.0
23761.3,0.8767965833618009,3087.0
22538.3,0.8293212575848434,3088.0
22812.2,0.8370249765196194,3089.0
23135.3,0.8464720785052381,3090.0
23029.1,0.8401898075014893,3091.0
22277.1,0.810436069497259,3092.0
21934.8,0.7957015593505028,3093.0
23226.5,0.8401435914644881,3094.0
24557.3,0.8857280778299426,3095.0
24405.8,0.8777276081714738,3096.0
23803.7,0.8536011573578468,3097.0
23572.4,0.8428592981908836,3098.0
22316.5,0.7956372149732294,3099.0
20797.6,0.7393276672524218,3100.0
20938.2,0.742155406455961,3101.0
22455.4,0.7936063935915745,3102.0
24846.8,0.8755496693995443,3103.0
26144.2,0.9185626627402275,3104.0
25513.3,0.8937588470009615,3105.0
25218.8,0.8808371756589101,3106.0
26703.8,0.9299487876373409,3107.0
28667.7,0.9953844357721332,3108.0
28837.6,0.9983123675996017,3109.0
27647.4,0.9542635269428072,3110.0
27139.4,0.933938638396915,3111.0
27814.3,0.9543061483129731,3112.0
28410.9,0.9718595615074873,3113.0
28077.7,0.9575830764250297,3114.0
28633.1,0.9735925162607577,3115.0
28711.8,0.9733314255123967,3116.0
26617.6,0.8996182650355213,3117.0
24945.3,0.8405523257844846,3118.0
24253.7,0.8147761672072663,3119.0
23976.7,0.8030298506012736,3120.0
24049.7,0.8030297047486077,3121.0
24805.9,0.8257609418925165,3122.0
26822.9,0.8901849455485955,3123.0
27582.1,0.9125881097288934,3124.0
26251.6,0.8659125707950003,3125.0
26006.5,0.8552022217119403,3126.0
26755.0,0.877118762820632,3127.0
26607.7,0.8696114158526538,3128.0
26236.5,0.8548426746698355,3129.0
25633.2,0.8326135944332319,3130.0
25934.0,0.839785865224826,3131.0
27012.3,0.8720011089849106,3132.0
26978.0,0.8681998519338059,3133.0
27279.1,0.8751703054134722,3134.0
28597.3,0.9146148933131679,3135.0
28946.8,0.9229170133405091,3136.0
29254.2,0.9298167209971623,3137.0
30229.8,0.9578326623286907,3138.0
30741.0,0.9709924190813575,3139.0
31418.5,0.9892932355551768,3140.0
31712.3,0.9954223113164934,3141.0
29354.8,0.9185379667225189,3142.0
22350.1,0.6971627287032878,3143.0
16041.7,0.4988157518360599,3144.0
17543.6,0.543803459513285,3145.0
22784.3,0.7040294856315034,3146.0
25756.3,0.7933576184242602,3147.0
27591.1,0.8471949958291767,3148.0
30005.4,0.9184195927656482,3149.0
31544.1,0.9624667758750557,3150.0
31650.5,0.962659336487829,3151.0
30664.1,0.9297052988662542,3152.0
30415.5,0.9192458681879633,3153.0
