T,g,feh,cfe
4500.0,5.0,-1.0,-0.4299999999999997
4500.0,5.0,-1.103448275862069,-0.32655172413793077
4500.0,5.0,-1.206896551724138,-0.22310344827586182
4500.0,5.0,-1.3103448275862069,-0.11965517241379287
4500.0,5.0,-1.4137931034482758,-0.016206896551723915
4500.0,5.0,-1.5172413793103448,0.08724137931034504
4500.0,5.0,-1.6206896551724137,0.19068965517241399
4500.0,5.0,-1.7241379310344827,0.29413793103448294
4500.0,5.0,-1.8275862068965516,0.3975862068965519
4500.0,5.0,-1.9310344827586206,0.5010344827586208
4500.0,5.0,-2.0344827586206895,0.6044827586206898
4500.0,5.0,-2.137931034482759,0.7079310344827592
4500.0,5.0,-2.2413793103448274,0.8113793103448277
4500.0,5.0,-2.344827586206897,0.9148275862068971
4500.0,5.0,-2.4482758620689653,1.0182758620689656
4500.0,5.0,-2.5517241379310347,1.121724137931035
4500.0,5.0,-2.655172413793103,1.2251724137931035
4500.0,5.0,-2.7586206896551726,1.3286206896551729
4500.0,5.0,-2.862068965517241,1.4320689655172414
4500.0,5.0,-2.9655172413793105,1.5355172413793108
4500.0,5.0,-3.0689655172413794,1.6389655172413797
4500.0,5.0,-3.1724137931034484,1.7424137931034487
4500.0,5.0,-3.2758620689655173,1.8458620689655176
4500.0,5.0,-3.3793103448275863,1.9493103448275866
4500.0,5.0,-3.4827586206896552,2.0527586206896555
4500.0,5.0,-3.586206896551724,2.1562068965517245
4500.0,5.0,-3.689655172413793,2.2596551724137934
4500.0,5.0,-3.793103448275862,2.3631034482758624
4500.0,5.0,-3.896551724137931,2.4665517241379313
4500.0,5.0,-4.0,2.5700000000000003
