T,g,feh,cfe
4000.0,0.0,-3.0,0.87
4052.6315789473683,0.0,-3.0,0.87
4105.263157894737,0.0,-3.0,0.87
4157.894736842105,0.0,-3.0,0.87
4210.526315789473,0.0,-3.0,0.87
4263.157894736842,0.0,-3.0,0.87
4315.789473684211,0.1086481994459838,-3.0,0.87
4368.421052631579,0.25332963988919666,-3.0,0.87
4421.0526315789475,0.3978891966759015,-3.0,0.87
4473.684210526316,0.542326869806093,-3.0,0.87
4526.315789473684,0.6866426592797783,-3.0,0.87
4578.9473684210525,0.830836565096952,-3.0,0.87
4631.578947368421,0.974908587257616,-3.0,0.87
4684.210526315789,1.118858725761772,-3.0,0.87
4736.8421052631575,1.2626869806094163,-3.0,0.87
4789.473684210527,1.4063933518005562,-3.0,0.87
4842.105263157895,1.5499778393351793,-3.0,0.87
4894.736842105263,1.6934404432132961,-3.0,0.87
4947.368421052632,1.8367811634349014,-3.0,0.87
5000.0,1.9799999999999986,-3.0,0.87
