flux,norm,wave
170718.60733302517,0.8726528431279724,3000.0
151616.00014093664,0.7740747777154817,3001.0
146430.46597127352,0.7467017814146732,3002.0
152675.1558363827,0.7776113723693401,3003.0
170565.33281621113,0.867689039143286,3004.0
185586.25153295443,0.9429721866958991,3005.0
183476.88082967547,0.9311395894836124,3006.0
168371.66702009086,0.8534605217407343,3007.0
158689.43121373813,0.8034225730587754,3008.0
166682.61541677694,0.842885439029743,3009.0
180751.1227939365,0.9129396814891992,3010.0
186345.56702813075,0.9400773675282046,3011.0
184476.19776686613,0.9295418223124329,3012.0
187599.42096606555,0.9441581923432663,3013.0
192387.19224425333,0.9671074213828741,3014.0
192030.0074762583,0.9641698681162371,3015.0
188151.167016172,0.943578153037592,3016.0
180852.53328120988,0.9059050234981446,3017.0
169754.4693376174,0.8493115000080592,3018.0
149978.60018333257,0.7494857889624393,3019.0
120043.5393665982,0.5991862242410957,3020.0
111979.1429796289,0.5582769407818321,3021.0
143895.39951608662,0.7165550838673851,3022.0
173091.95445775936,0.8609348212980673,3023.0
176164.1726741401,0.8751898987412117,3024.0
167359.64955117408,0.8304765557393885,3025.0
165965.04786692015,0.8225944206641438,3026.0
182382.6078121917,0.9029124521649964,3027.0
198750.11782266648,0.9827958280844449,3028.0
202843.94839402716,1.0018720082883883,3029.0
198938.91754776463,0.98144237178762,3030.0
194291.1629494903,0.9574002883062542,3031.0
196377.40919144067,0.9665583356248666,3032.0
203667.651801366,1.0012792660726073,3033.0
208085.2250848486,1.0218134542879,3034.0
207377.37317722282,1.01716059661083,3035.0
194631.67483597322,0.9535424798591355,3036.0
173111.13946752442,0.8471308273179471,3037.0
172103.45711799618,0.841229682603687,3038.0
190400.08165877406,0.9295916697881091,3039.0
196931.01284720507,0.9603728662229075,3040.0
191470.96474840413,0.932674148736182,3041.0
189537.4502417229,0.9221973441832707,3042.0
196348.15086018376,0.9542409260497636,3043.0
203377.12175127983,0.9872707713908623,3044.0
205640.54693727632,0.997117781428556,3045.0
199368.6774623629,0.9656032823830986,3046.0
182789.76030486607,0.88429736137829,3047.0
179299.32033452048,0.8664237206478085,3048.0
192994.61015998482,0.931542467787688,3049.0
196220.60042734328,0.9460376658535955,3050.0
194836.62152429734,0.9386855434405772,3051.0
202274.4470919127,0.9738150915598327,3052.0
204170.88561357406,0.9822351153935204,3053.0
198634.6978991447,0.9549115588100568,3054.0
198078.54500869018,0.95155104831215,3055.0
195604.39426639254,0.9389881391481071,3056.0
180465.82897314164,0.8656922918841031,3057.0
167242.10519805038,0.8016808158666081,3058.0
170814.0555226975,0.8182141578802768,3059.0
190732.01442167745,0.9129662580719229,3060.0
209071.5640704957,1.0000323959854625,3061.0
212604.2669985957,1.0162001887419059,3062.0
201909.04514605546,0.9643873097787399,3063.0
186543.8150624379,0.8903591108987776,3064.0
180603.78499192212,0.8613904733131093,3065.0
176158.7599791945,0.8395886281560749,3066.0
168380.31960016902,0.8019419672452324,3067.0
170211.2930703607,0.8100829921167277,3068.0
182812.59058269046,0.8694347593802717,3069.0
194310.20345311586,0.9234565730234179,3070.0
199546.69007593786,0.947666643454047,3071.0
199497.75926334548,0.9467591353250312,3072.0
201823.77797574687,0.9571157230300774,3073.0
202834.35549499321,0.9612237495280354,3074.0
195727.01633768057,0.9268828124975236,3075.0
197192.1861403185,0.9331577161580729,3076.0
205842.86165288292,0.9734029912415195,3077.0
205970.45970958288,0.9733152740923449,3078.0
204034.83992436415,0.9634848398055611,3079.0
202452.6982015404,0.9553363329332083,3080.0
197302.62928017677,0.9303749064461969,3081.0
193749.45258744148,0.9129735744561851,3082.0
195503.52286493944,0.9205876315598404,3083.0
200861.06957897329,0.9451470022510401,3084.0
205842.09488244352,0.9679012310889986,3085.0
201514.03511431327,0.9468814836365036,3086.0
189944.0332798652,0.8918866672559638,3087.0
185340.38521269843,0.8696569758591498,3088.0
185685.0303465956,0.8706606959997358,3089.0
177937.81805925825,0.8337476941484274,3090.0
166333.55970824533,0.7788266795460755,3091.0
158785.97663761774,0.7429641372340141,3092.0
161499.01986091878,0.7551280096437301,3093.0
177227.90414252802,0.8280908516969336,3094.0
186553.68821788556,0.8710541113930588,3095.0
178772.26489643272,0.8341363771045469,3096.0
172907.04713096452,0.8062049308210955,3097.0
177169.49151372805,0.8255012674457171,3098.0
170734.17317343186,0.7949604519153888,3099.0
156325.04604854088,0.7273611620165572,3100.0
154058.6323177462,0.7163153654635233,3101.0
168466.256453674,0.7827589694402548,3102.0
193863.78122175075,0.9001376271757099,3103.0
209600.88058371024,0.9725292244739354,3104.0
208648.06925635214,0.9674342523680266,3105.0
204431.6526449427,0.9472246056262407,3106.0
208582.41773826996,0.9657850556514945,3107.0
218665.114385242,1.0117668540620501,3108.0
221882.50196472372,1.0259409673517257,3109.0
219193.4564912707,1.0128041778649124,3110.0
216101.90654462308,0.9978270837017937,3111.0
213476.002737832,0.985019323830749,3112.0
213366.92234892907,0.9838343658635939,3113.0
212270.10047907414,0.9780997251603991,3114.0
216352.174430252,0.9962198692869914,3115.0
216821.96348457495,0.9976932617576945,3116.0
207124.71409105952,0.9524139032049044,3117.0
203626.62719260695,0.9356827390729626,3118.0
199595.08376943378,0.9165250563405916,3119.0
194534.38841274305,0.8926712444695312,3120.0
195009.29377283592,0.8942343238406196,3121.0
193820.05200027255,0.888169392362289,3122.0
198109.6677893675,0.9054912177665941,3123.0
202687.69768252657,0.924039021679041,3124.0
201311.5860243455,0.9154168461301432,3125.0
202593.13885121266,0.9188929404564341,3126.0
