flux,norm,wave
124866.0,0.9588164604862578,3000.0
106737.0,0.8215401137450365,3001.0
102669.0,0.7920926596673505,3002.0
107298.0,0.8297581561872133,3003.0
118895.0,0.9216098514178062,3004.0
125078.0,0.9718257978777843,3005.0
119959.0,0.9342533643059503,3006.0
113270.0,0.8842425900397024,3007.0
112394.0,0.8794774405413149,3008.0
121315.0,0.9515277869943007,3009.0
126193.0,0.9921286231320517,3010.0
125245.0,0.9870046394549906,3011.0
122281.0,0.9659267615413283,3012.0
123457.0,0.9775245865763883,3013.0
132203.0,1.049253346374,3014.0
133910.0,1.0653185032815362,3015.0
130554.0,1.0410806429270316,3016.0
128178.0,1.02455605858174,3017.0
119202.0,0.9550676522104194,3018.0
106461.0,0.8550072603136746,3019.0
89299.4,0.7188806175782996,3020.0
77170.0,0.6227102381522007,3021.0
83404.3,0.6746142584676996,3022.0
95742.0,0.7762460976960072,3023.0
104889.0,0.8524266657773646,3024.0
107720.0,0.8775136024606645,3025.0
106302.0,0.8680198505913584,3026.0
106432.0,0.871146964853471,3027.0
112149.0,0.9201229492167954,3028.0
123003.0,1.0115740478444863,3029.0
129984.0,1.0715283122696155,3030.0
131164.0,1.0838281826993204,3031.0
129458.0,1.0722769386102873,3032.0
126457.0,1.0499134003179091,3033.0
126253.0,1.0507153674308618,3034.0
129809.0,1.0828821435829192,3035.0
126470.0,1.057540843406549,3036.0
116838.0,0.9793258428112964,3037.0
117939.0,0.990910052626712,3038.0
126624.0,1.0664161948160422,3039.0
126152.0,1.06497390359318,3040.0
122441.0,1.0361103777262093,3041.0
127822.0,1.0842247000276246,3042.0
136928.0,1.1642350853384151,3043.0
140727.0,1.1993909566857057,3044.0
139466.0,1.1914801046808459,3045.0
133479.0,1.1430538355198911,3046.0
119984.0,1.029941469695269,3047.0
110492.0,0.9507266822476534,3048.0
112055.0,0.9664778226056264,3049.0
110920.0,0.9589732204362523,3050.0
110210.0,0.9551107691914389,3051.0
114580.0,0.9953546002756798,3052.0
109563.0,0.954046055307854,3053.0
95346.2,0.8322338328411351,3054.0
88643.2,0.775575515497903,3055.0
90317.9,0.7921169553543143,3056.0
93767.6,0.824337798555574,3057.0
96149.6,0.8472994940195699,3058.0
98628.3,0.8712206773655703,3059.0
105146.0,0.9310149364987811,3060.0
112190.0,0.9957616707534556,3061.0
115754.0,1.0298517745305906,3062.0
116345.0,1.0375857098006356,3063.0
115937.0,1.0364203706600539,3064.0
116444.0,1.043442919550365,3065.0
113283.0,1.0175460897357151,3066.0
112029.0,1.0086898180430692,3067.0
115701.0,1.0442444502496677,3068.0
120654.0,1.0915527379359728,3069.0
126278.0,1.1451665999185932,3070.0
126298.0,1.148088766664027,3071.0
122684.0,1.1179051810470928,3072.0
121842.0,1.1128897245667502,3073.0
119964.0,1.0983585654510168,3074.0
115332.0,1.058476273528461,3075.0
111379.0,1.0246433468664007,3076.0
107785.0,0.9939529807369432,3077.0
107737.0,0.995887974838689,3078.0
111370.0,1.031933973222788,3079.0
111412.0,1.0347935666400785,3080.0
109327.0,1.0178580376447028,3081.0
110380.0,1.0301208168207683,3082.0
111860.0,1.046430864209505,3083.0
110966.0,1.0405514508344025,3084.0
109290.0,1.027287253515825,3085.0
101347.0,0.9549049686279665,3086.0
88281.3,0.8337880887590747,3087.0
83858.3,0.7939088700404807,3088.0
86534.8,0.8212075671494594,3089.0
88671.4,0.8434962758325859,3090.0
86358.5,0.8234591320517454,3091.0
82458.4,0.7881504216343447,3092.0
84398.7,0.8086248803256517,3093.0
91037.4,0.8743155459297767,3094.0
96203.8,0.9261417525765832,3095.0
94029.9,0.9073773956656614,3096.0
90417.3,0.8746012948844668,3097.0
92029.4,0.8923220394462406,3098.0
93303.2,0.9068341257077175,3099.0
90424.8,0.880957569740551,3100.0
90258.0,0.8814325477732904,3101.0
92414.5,0.9046472222009337,3102.0
95699.2,0.9390376592637075,3103.0
100659.0,0.990062657192071,3104.0
105358.0,1.0387540851553763,3105.0
106487.0,1.0523901166760596,3106.0
103744.0,1.0277272571225384,3107.0
103042.0,1.0232073477060997,3108.0
103901.0,1.0341971614971126,3109.0
105582.0,1.0534343905181467,3110.0
104461.0,1.0447335046233572,3111.0
102080.0,1.0233530177762014,3112.0
100692.0,1.0118426348285676,3113.0
97313.0,0.9802159834700896,3114.0
99377.4,1.0033932317832814,3115.0
101543.0,1.027698788943053,3116.0
97103.8,0.9851085491143317,3117.0
91878.7,0.9343173060271228,3118.0
76980.8,0.7846813546078455,3119.0
62069.0,0.6341860527407495,3120.0
65516.8,0.6710042871563785,3121.0
77006.5,0.7905517920105876,3122.0
85139.7,0.8761228744146267,3123.0
88020.4,0.9079163349108177,3124.0
88778.3,0.917906663361151,3125.0
90034.2,0.9330996412563249,3126.0
86381.3,0.8973640391778269,3127.0
82752.7,0.8617059698407517,3128.0
85164.5,0.888920892193456,3129.0
85071.4,0.8900517250749684,3130.0
