flux,norm,wave
93291.38458215044,0.8709846101091888,3000.0
69327.24083186893,0.6450093620505338,3001.0
61634.70251538445,0.5714599203279486,3002.0
67845.25217235461,0.6268786472995763,3003.0
87971.1857335165,0.8100524587284353,3004.0
102292.99854550697,0.9387120534319401,3005.0
95985.61989229276,0.8778322133010718,3006.0
80127.12450642683,0.7303125883330318,3007.0
72832.59140852305,0.6615823048181004,3008.0
83099.61530265241,0.7522998704047209,3009.0
96996.41012068828,0.875157911820658,3010.0
101660.02826066017,0.9141651830083055,3011.0
98123.61556131676,0.8794204254401378,3012.0
101062.77581673909,0.9027502528069251,3013.0
108382.0012975194,0.9649209928600527,3014.0
107051.39033469842,0.9499261965065655,3015.0
102380.5959199642,0.905488436243538,3016.0
95243.64229365339,0.8396023812559122,3017.0
79835.2670973608,0.7014707029106773,3018.0
60437.80509308995,0.529303997095916,3019.0
41905.301419835516,0.3658068303192765,3020.0
36461.28687781672,0.3172530254936259,3021.0
51771.154728097215,0.44901115096732164,3022.0
70086.29333623794,0.6059020047551356,3023.0
76228.65914146966,0.6568891659606938,3024.0
72394.41879779188,0.6218532307752798,3025.0
72848.14914823046,0.6237560385562496,3026.0
87511.31657970624,0.7469272485193738,3027.0
104355.6162225662,0.8878756419989784,3028.0
113342.96675059172,0.9612967571737281,3029.0
113695.02187878882,0.9612475961386725,3030.0
112064.06065770236,0.9444857083019045,3031.0
115618.21172152435,0.9713925696748749,3032.0
122115.19127477193,1.0227793851899498,3033.0
125729.12348648813,1.0497747549136816,3034.0
126573.25270123074,1.0535480276335483,3035.0
113143.34912217016,0.9388533463276933,3036.0
88739.87232450709,0.7340877948368176,3037.0
87321.59572122159,0.7201375578119307,3038.0
106309.1672042508,0.8740438110929044,3039.0
110833.3716779468,0.9084599535811249,3040.0
103566.12456187674,0.8463105758992766,3041.0
105875.64541300424,0.8625592425839936,3042.0
120059.31853811943,0.9751547729300509,3043.0
130242.33688190595,1.0546749767631847,3044.0
130357.10303312435,1.0524316364946453,3045.0
119810.71777276671,0.9643873822292499,3046.0
97466.9878543856,0.782193043778474,3047.0
88963.93550326652,0.7118275994055697,3048.0
100346.48884552863,0.8005183693362663,3049.0
102295.36907307306,0.813649215550895,3050.0
101588.62119641656,0.8056422352718119,3051.0
110466.46157741177,0.8734686288190778,3052.0
106806.76755846303,0.8420523885812955,3053.0
91087.15708356806,0.7160192545492526,3054.0
85849.71342033378,0.6728795595055524,3055.0
85888.20261901758,0.6723277789034979,3056.0
78433.90349037906,0.6131985568187296,3057.0
70218.99579852521,0.548279942498049,3058.0
73413.65108180941,0.5725002909935509,3059.0
91957.58193917957,0.7162065163589318,3060.0
112281.41692393119,0.8733958776359702,3061.0
123014.0779606819,0.9556773346632549,3062.0
122840.41359538375,0.9531289156099556,3063.0
115852.59504851069,0.8977816654639457,3064.0
111530.74828455939,0.8632068069278351,3065.0
102095.84121632033,0.7891948622207472,3066.0
93394.52401116004,0.7210315163322134,3067.0
101030.32653490372,0.7790079834789176,3068.0
118249.47704656965,0.9106413664744138,3069.0
131896.04608916838,1.0144685597635161,3070.0
133086.36133006655,1.0223502560270052,3071.0
127435.08694800347,0.9777215645240559,3072.0
127393.10727611635,0.9761864866221903,3073.0
125198.731906515,0.9581823039922136,3074.0
114527.23290372707,0.8754251233822619,3075.0
111652.66089766963,0.852397179069003,3076.0
115302.02353516742,0.8791707026042606,3077.0
115661.68673666158,0.8808253677410992,3078.0
118730.19436231525,0.9030798370838181,3079.0
119689.94809664348,0.9092597774506392,3080.0
114524.45935439006,0.8689495102208274,3081.0
111169.15462803883,0.8424560293748724,3082.0
112486.17106685527,0.8513916275915044,3083.0
117407.20448536231,0.8875502333301251,3084.0
124107.99796502596,0.9370582097165915,3085.0
118145.24807135154,0.8909479091204319,3086.0
99399.7860470946,0.74867168150742,3087.0
90811.58339272936,0.6831526435436959,3088.0
93700.25109162206,0.7040256025254603,3089.0
92188.88259673855,0.6918279211408734,3090.0
82369.29982052004,0.6173868664234355,3091.0
73595.67457784724,0.5509566387271998,3092.0
76045.81647082469,0.5686096335206694,3093.0
90876.34088555783,0.6786785312473916,3094.0
102390.09020774432,0.7637412249126545,3095.0
94686.09224588494,0.7054238898231809,3096.0
84518.25974688602,0.6289133459240859,3097.0
88939.8184644484,0.6610182172928059,3098.0
89232.51462039401,0.6623962669701915,3099.0
76821.00957202277,0.5695776468768293,3100.0
71568.6516707685,0.5299984147067928,3101.0
83785.34187188819,0.619725283108709,3102.0
106623.01846104303,0.787702453226627,3103.0
123774.24767675303,0.913318381657282,3104.0
129378.98853864905,0.9535356905695885,3105.0
129929.06970469351,0.9564481858830727,3106.0
132246.005609299,0.9723446226478953,3107.0
